,Price,Bed,Bath,Toilet,Built or Serviced,Property Type,Area,Purchase Type,Parking Space,Security,Electricity,Furnished,Security Doors,CCTV,BQ,Gym,Pool
25685,900000.0,1.0,1.0,2.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
25686,1100000.0,3.0,3.0,4.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25687,1800000.0,4.0,4.0,4.0,Serviced,Detached bungalow,Ajah,rent,1,0,0,1,0,0,0,0,0
25689,650000.0,1.0,1.0,1.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
25692,700000.0,1.0,1.0,1.0,Serviced,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
25694,1500000.0,4.0,4.0,4.0,Serviced,Detached bungalow,Ajah,rent,1,0,0,1,0,0,0,0,0
25696,1300000.0,3.0,3.0,4.0,Newly Built,Semi detached bungalow,Ajah,rent,1,0,0,0,0,0,0,0,0
25697,1650000.0,2.0,2.0,3.0,Serviced,Flat / apartment,Ajah,rent,0,1,0,0,0,0,0,0,0
25701,1100000.0,2.0,3.0,3.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25707,1500000.0,3.0,3.0,4.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25709,2000000.0,4.0,4.0,4.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25712,1000000.0,1.0,1.0,1.0,Serviced,Mini flat,Ajah,rent,0,1,0,0,0,0,0,0,0
25714,750000.0,2.0,2.0,3.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25715,1800000.0,3.0,3.0,4.0,Newly Built,Terraced duplex,Ajah,rent,0,0,0,0,0,0,0,0,0
25717,1400000.0,3.0,3.0,4.0,Newly Built,Semi detached duplex,Ajah,rent,0,0,0,0,0,0,0,0,0
25718,1500000.0,3.0,3.0,4.0,Newly Built,Blocks of flats,Ajah,rent,0,0,0,0,0,0,0,0,0
25719,900000.0,3.0,3.0,4.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25721,1700000.0,3.0,3.0,4.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25723,1300000.0,3.0,3.0,4.0,Serviced,Semi detached bungalow,Ajah,rent,0,0,0,0,0,0,0,0,0
25725,1650000.0,2.0,3.0,3.0,Serviced,Flat / apartment,Ajah,rent,0,1,1,0,0,1,0,0,0
25726,2100000.0,4.0,4.0,5.0,Serviced,Terraced duplex,Ajah,rent,0,0,0,0,0,0,0,0,0
25727,900000.0,1.0,1.0,2.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
25728,700000.0,1.0,1.0,2.0,Serviced,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
25729,1000000.0,3.0,3.0,4.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25732,600000.0,2.0,2.0,3.0,Newly Built,Flat / apartment,Ajah,rent,0,1,0,0,0,0,0,0,0
25734,600000.0,1.0,1.0,1.0,Furnished,Mini flat,Ajah,rent,0,0,0,1,0,0,0,0,0
25736,1300000.0,3.0,3.0,4.0,Newly Built,Semi detached bungalow,Ajah,rent,1,1,0,0,0,0,0,0,0
25739,1100000.0,2.0,3.0,3.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25741,1000000.0,2.0,2.0,2.0,Newly Built,Blocks of flats,Ajah,rent,0,0,0,0,0,0,0,0,0
25742,1800000.0,4.0,4.0,5.0,Furnished,Semi detached duplex,Ajah,rent,0,0,0,1,0,0,0,0,0
25750,1600000.0,3.0,2.0,4.0,Furnished,Flat / apartment,Ajah,rent,0,0,0,1,0,0,0,0,0
25751,1000000.0,2.0,2.0,3.0,Furnished,Flat / apartment,Ajah,rent,0,0,0,1,0,0,0,0,0
25752,1100000.0,2.0,2.0,3.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25759,1500000.0,2.0,2.0,3.0,Serviced,Flat / apartment,Ajah,rent,1,0,0,0,0,0,0,0,0
25765,1000000.0,3.0,3.0,4.0,Furnished,Detached bungalow,Ajah,rent,0,0,0,1,0,0,0,0,0
25771,700000.0,2.0,2.0,3.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
25779,600000.0,1.0,1.0,1.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
25780,800000.0,3.0,4.0,4.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25782,800000.0,1.0,2.0,1.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
25783,600000.0,1.0,2.0,2.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
25784,650000.0,1.0,1.0,1.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
25785,2000000.0,4.0,5.0,5.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25786,1500000.0,4.0,5.0,5.0,Newly Built,Terraced duplex,Ajah,rent,0,0,0,0,0,0,0,0,0
25788,1200000.0,2.0,3.0,3.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25789,600000.0,1.0,1.0,2.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
25796,1800000.0,3.0,3.0,4.0,Serviced,Terraced duplex,Ajah,rent,0,0,0,0,0,0,0,0,0
25798,1000000.0,1.0,1.0,1.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
25799,900000.0,2.0,3.0,3.0,Newly Built,Flat / apartment,Ajah,rent,1,0,0,0,0,0,0,0,0
25801,800000.0,1.0,1.0,1.0,Serviced,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
25802,450000.0,2.0,2.0,2.0,Serviced,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25803,1100000.0,2.0,2.0,3.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25804,1500000.0,3.0,4.0,4.0,Serviced,Terraced duplex,Ajah,rent,0,0,0,0,0,0,0,0,0
25805,1800000.0,3.0,3.0,3.0,Serviced,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25806,600000.0,2.0,2.0,3.0,Newly Built,Blocks of flats,Ajah,rent,0,0,0,0,0,0,0,0,0
25809,1200000.0,4.0,5.0,5.0,Newly Built,Flat / apartment,Ajah,rent,0,1,0,0,0,0,0,0,0
25810,1800000.0,4.0,4.0,5.0,Newly Built,Terraced duplex,Ajah,rent,0,0,0,0,0,0,0,0,0
25811,1100000.0,2.0,2.0,3.0,Furnished,Flat / apartment,Ajah,rent,1,0,0,1,0,0,0,0,0
25814,600000.0,1.0,1.0,2.0,Newly Built,Mini flat,Ajah,rent,0,1,0,0,0,0,0,0,0
25815,800000.0,3.0,3.0,4.0,Newly Built,Blocks of flats,Ajah,rent,0,0,0,0,0,0,0,0,0
25817,350000.0,1.0,2.0,2.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
25826,1000000.0,2.0,2.0,3.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25828,750000.0,2.0,2.0,3.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25829,500000.0,2.0,3.0,3.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
