,Price,Bed,Bath,Toilet,Built or Serviced,Property Type,Area,Purchase Type,Parking Space,Security,Electricity,Furnished,Security Doors,CCTV,BQ,Gym,Pool
1,33000000.0,4.0,4.0,5.0,Newly Built,Terraced duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
2,38000000.0,4.0,4.0,5.0,Newly Built,Terraced duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
3,38000000.0,3.0,4.0,5.0,Newly Built,Detached bungalow,Ajah,sale,0,1,0,0,1,0,0,0,0
4,23000000.0,2.0,2.0,3.0,Serviced,Blocks of flats,Ajah,sale,0,1,0,0,1,1,0,0,0
5,46000000.0,4.0,5.0,6.0,Newly Built,Semi detached duplex,Ajah,sale,0,1,0,0,1,0,0,0,0
6,33000000.0,4.0,4.0,5.0,Newly Built,Terraced duplex,Ajah,sale,0,1,0,0,1,1,0,0,0
7,35000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
10,97000000.0,5.0,7.0,8.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,1,1,0,0,1
11,55000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,1,0,0,0,0
12,43000000.0,4.0,5.0,5.0,Newly Built,Semi detached duplex,Ajah,sale,0,1,0,0,1,0,0,0,0
13,45000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
15,38000000.0,4.0,4.0,5.0,Newly Built,Terraced duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
16,45000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
18,75000000.0,5.0,5.0,6.0,Newly Built,Terraced duplex,Ajah,sale,0,0,0,0,0,0,0,0,1
19,37000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,1,1,0,0,0
20,23000000.0,2.0,2.0,3.0,Newly Built,Blocks of flats,Ajah,sale,0,1,0,0,1,1,0,0,0
21,60000000.0,4.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,1,1,0,0,0
23,53000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,1,0,0,0,0
24,95000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
25,75000000.0,4.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,1
27,60000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,1,0,0,0,0
28,42000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Ajah,sale,0,1,0,0,1,0,0,0,0
29,45000000.0,4.0,5.0,6.0,Newly Built,Semi detached duplex,Ajah,sale,0,1,0,0,1,0,0,0,0
30,38000000.0,3.0,3.0,4.0,Newly Built,Detached bungalow,Ajah,sale,0,1,0,0,1,0,0,0,0
32,60000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
33,58000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,1,0,0,0,0
34,35000000.0,4.0,4.0,4.0,Newly Built,Terraced duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
36,38000000.0,3.0,3.0,4.0,Newly Built,Detached bungalow,Ajah,sale,0,1,0,0,1,0,0,0,0
38,33000000.0,3.0,3.0,4.0,Furnished,Blocks of flats,Ajah,sale,0,0,0,1,0,0,0,0,0
39,40000000.0,3.0,3.0,5.0,Serviced,Flat / apartment,Ajah,sale,1,1,0,0,0,1,0,0,0
40,45000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Ajah,sale,1,0,0,0,0,0,0,0,0
41,14000000.0,2.0,4.0,4.0,Furnished,Blocks of flats,Ajah,sale,0,0,0,1,0,0,0,0,0
42,58000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
43,22000000.0,3.0,3.0,4.0,Newly Built,Terraced duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
44,42000000.0,3.0,3.0,4.0,Newly Built,Terraced duplex,Ajah,sale,1,1,0,0,1,1,0,1,1
45,16000000.0,3.0,3.0,3.0,Newly Built,Flat / apartment,Ajah,sale,0,0,0,0,0,0,0,0,0
46,50000000.0,4.0,4.0,5.0,Newly Built,Terraced duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
47,42000000.0,4.0,5.0,5.0,Serviced,Semi detached duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
49,18000000.0,2.0,2.0,3.0,Serviced,Flat / apartment,Ajah,sale,0,0,0,0,0,0,0,0,0
52,26000000.0,3.0,3.0,4.0,Newly Built,Terraced duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
53,23000000.0,3.0,3.0,4.0,Furnished,Terraced duplex,Ajah,sale,0,1,0,1,0,0,0,0,0
54,57000000.0,4.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,0,1,0,0,0
55,37000000.0,3.0,3.0,4.0,Newly Built,Massionette house,Ajah,sale,0,0,0,0,0,0,0,0,0
56,40000000.0,4.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
57,35000000.0,2.0,3.0,4.0,Serviced,Terraced duplex,Ajah,sale,0,0,0,0,0,1,0,0,0
58,70000000.0,4.0,5.0,6.0,Furnished,Detached duplex,Ajah,sale,0,1,0,1,0,0,0,0,0
60,40000000.0,4.0,5.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
62,65000000.0,5.0,5.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,1
63,17000000.0,2.0,2.0,3.0,Serviced,Flat / apartment,Ajah,sale,0,1,0,0,0,1,0,0,0
64,30000000.0,4.0,4.0,4.0,Serviced,Semi detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
66,38000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
69,38000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
71,90000000.0,5.0,5.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,1,0,0,1
72,27000000.0,3.0,3.0,4.0,Serviced,Flat / apartment,Ajah,sale,0,0,0,0,0,0,0,0,0
73,50000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,1,0,0,0,0,0,0,0,0
74,46200000.0,4.0,5.0,5.0,Newly Built,Terraced duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
75,38000000.0,4.0,5.0,6.0,Newly Built,Semi detached duplex,Ajah,sale,0,1,0,0,0,1,0,0,0
76,25000000.0,2.0,2.0,3.0,Newly Built,Semi detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
77,47500000.0,4.0,4.0,5.0,Newly Built,Terraced duplex,Ajah,sale,0,1,1,0,0,0,0,0,1
78,45000000.0,3.0,3.0,4.0,Newly Built,Flat / apartment,Yaba,sale,0,0,0,0,0,0,0,0,0
79,40000000.0,3.0,3.0,4.0,Newly Built,Semi detached duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
80,20000000.0,2.0,2.0,3.0,Newly Built,Flat / apartment,Ajah,sale,0,0,0,0,0,0,0,0,0
82,70000000.0,4.0,4.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
83,40000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
